writer,id,datetime,text
Elon Musk,@elonmusk,2022-05-01T06:23:15.000Z,"Since I’ve been asked a lot:

Buy stock in several companies that make products & services that *you* believe in.

Only sell if you think their products & services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term."
Tesla,@Tesla,2022-04-29T21:37:16.000Z,Tesla Cyber Rodeo
SpaceX,@SpaceX,2022-04-29T21:19:50.000Z,Watch Falcon 9 launch 53 Starlink satellites to orbit → http://spacex.com/launches/sl4-16
Elon Musk,@elonmusk,2022-04-29T12:44:05.000Z,"But I’m no fan of the far right either. 

Let’s have less hate and more love."
Elon Musk,@elonmusk,2022-04-29T12:28:10.000Z,"The far left hates everyone, themselves included!"
Elon Musk,@elonmusk,2022-04-28T20:58:09.000Z,"“Real magic is only a sip away.”
(Actual slogan of Coca-Cola!!) "
Elon Musk,@elonmusk,2022-04-28T20:53:49.000Z,.@CocaCola Oh hi lol
Elon Musk,@elonmusk,2022-04-28T17:47:22.000Z,
SpaceX,@SpaceX,2022-04-28T02:14:58.000Z,Video of Dragon’s Draco thrusters moving the spacecraft closer to the @Space_Station
Elon Musk,@elonmusk,2022-04-28T01:57:27.000Z,"Listen, I can’t do miracles ok"
Elon Musk,@elonmusk,2022-04-28T01:53:50.000Z,Let’s make Twitter maximum fun!
Elon Musk,@elonmusk,2022-04-28T00:56:58.000Z,Next I’m buying Coca-Cola to put the cocaine back in
Elon Musk,@elonmusk,2022-04-28T00:13:47.000Z,"Twitter DMs should have end to end encryption like Signal, so no one can spy on or hack your messages"
SpaceX,@SpaceX,2022-04-27T23:41:36.000Z,Docking confirmed!
Elon Musk,@elonmusk,2022-04-27T20:38:20.000Z,"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally"
Elon Musk,@elonmusk,2022-04-27T18:06:21.000Z,
Elon Musk,@elonmusk,2022-04-27T17:28:36.000Z,Should be called Trumpet instead!
Elon Musk,@elonmusk,2022-04-27T17:11:41.000Z,Truth Social (terrible name) exists because Twitter censored free speech
SpaceX,@SpaceX,2022-04-27T08:07:56.000Z,Crew-4 on orbit
Elon Musk,@elonmusk,2022-04-27T05:01:00.000Z,Truth Social is currently beating Twitter & TikTok on the Apple Store
SpaceX,@SpaceX,2022-04-27T04:55:45.000Z,Astronauts arrive at Launch Complex 39A ahead of flight
SpaceX,@SpaceX,2022-04-27T04:00:22.000Z,Watch Falcon 9 launch Dragon and the Crew-4 astronauts to the @space_station → http://spacex.com/launches/crew-4/…
Elon Musk,@elonmusk,2022-04-26T20:15:32.000Z,Per aspera ad astra!
Elon Musk,@elonmusk,2022-04-26T20:09:46.000Z,"Raptor 2 rocket engines at Starbase, each producing over half a million pounds (230 tons) of force"
Elon Musk,@elonmusk,2022-04-26T19:33:33.000Z,"By “free speech”, I simply mean that which matches the law. 

I am against censorship that goes far beyond the law. 

If people want less free speech, they will ask government to pass laws to that effect.

Therefore, going beyond the law is contrary to the will of the people."
Elon Musk,@elonmusk,2022-04-26T18:26:46.000Z,The extreme antibody reaction from those who fear free speech says it all
NASA,@NASA,2022-04-26T11:00:42.000Z,"The four astronauts of #Crew4 are set to launch to our orbiting laboratory on April 27 at 3:52am ET (7:52 UTC).

Join us RIGHT NOW for the prelaunch teleconference with program experts: https://youtu.be/SeYu4t4XxDo"
SpaceX,@SpaceX,2022-04-26T11:59:43.000Z,Weather is 90% favorable for tomorrow’s Falcon 9 launch of Dragon and the Crew-4 astronauts. Webcast will go live at 12:00 a.m. ET → http://spacex.com/launches/crew-4/…
Elon Musk,@elonmusk,2022-04-25T19:43:22.000Z, Yesss!!! 
Elon Musk,@elonmusk,2022-04-25T16:12:30.000Z,"I hope that even my worst critics remain on Twitter, because that is what free speech means"
The Boring Company,@boringcompany,2022-04-25T15:37:34.000Z,Hyperloop testing at full-scale begins later this year.
Elon Musk,@elonmusk,2022-04-25T15:35:41.000Z,And be my love in the rain
SpaceX,@SpaceX,2022-04-25T00:30:36.000Z,Watch Dragon and the Ax-1 astronauts depart the @space_station and return to Earth → http://spacex.com/launches/ax-1/
Elon Musk,@elonmusk,2022-04-24T14:25:01.000Z,(from making fun of Gates for shorting Tesla while claiming to support climate change action)
Elon Musk,@elonmusk,2022-04-24T11:46:48.000Z,Moving on …
Elon Musk,@elonmusk,2022-04-23T04:07:18.000Z,shadow ban council reviewing tweet …
Elon Musk,@elonmusk,2022-04-23T03:30:45.000Z,in case u need to lose a boner fast
Elon Musk,@elonmusk,2022-04-22T23:43:11.000Z,What is best in life?
Elon Musk,@elonmusk,2022-04-22T23:39:48.000Z,The Barbarians are at the Gate
Elon Musk,@elonmusk,2022-04-21T20:20:38.000Z,Believe in the future
Elon Musk,@elonmusk,2022-04-21T20:12:46.000Z,
Elon Musk,@elonmusk,2022-04-21T20:09:15.000Z,
Elon Musk,@elonmusk,2022-04-21T18:56:34.000Z,And authenticate all real humans
Elon Musk,@elonmusk,2022-04-21T18:53:55.000Z,"If our twitter bid succeeds, we will defeat the spam bots or die trying!"
Elon Musk,@elonmusk,2022-04-21T18:50:52.000Z,"Such a joy to work with amazingly talented people at SpaceX, Tesla, Neuralink & Boring Co!"
SpaceX,@SpaceX,2022-04-21T18:01:33.000Z,"Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s 12th launch and landing"
SpaceX,@SpaceX,2022-04-21T17:44:09.000Z,Watch Falcon 9 launch 53 Starlink satellites to orbit → http://spacex.com/launches/sl4-14/…
Elon Musk,@elonmusk,2022-04-21T03:09:12.000Z,"Please consider working at The Boring Company! 

Our goal is to solve traffic, which plagues every major city on Earth."
Elon Musk,@elonmusk,2022-04-20T03:32:19.000Z,_______ is the Night
Elon Musk,@elonmusk,2022-04-19T18:25:05.000Z,A social media platform’s policies are good if the most extreme 10% on left and right are equally unhappy
Elon Musk,@elonmusk,2022-04-18T21:32:12.000Z,SpaceX Falcon team making great progress! Aiming for 5 day launch cadence with many performance & refurb improvements.
Elon Musk,@elonmusk,2022-04-18T14:15:38.000Z,"Why, thank you, sir!"
Elon Musk,@elonmusk,2022-04-17T21:09:42.000Z,Happy Easter!
Elon Musk,@elonmusk,2022-04-17T16:27:49.000Z,Smooth landing video
Elon Musk,@elonmusk,2022-04-16T19:02:24.000Z, Love Me Tender 
Elon Musk,@elonmusk,2022-04-15T20:09:48.000Z,Thanks for the support!
Elon Musk,@elonmusk,2022-04-14T22:07:09.000Z,
Elon Musk,@elonmusk,2022-04-14T21:40:23.000Z,iu
Elon Musk,@elonmusk,2022-04-14T20:12:08.000Z,"Taking Twitter private at $54.20 should be up to shareholders, not the board"
Elon Musk,@elonmusk,2022-04-14T19:06:07.000Z,Will endeavor to keep as many shareholders in privatized Twitter as allowed by law
Elon Musk,@elonmusk,2022-04-14T11:23:21.000Z,"I made an offer 
https://sec.gov/Archives/edgar/data/0001418091/000110465922045641/tm2212748d1_sc13da.htm…"
SpaceX,@SpaceX,2022-04-12T21:16:33.000Z,"Photos from the @space_station of Dragon and the Ax-1 astronauts approaching the orbiting laboratory before docking on Saturday, April 9"
Elon Musk,@elonmusk,2022-04-10T00:03:19.000Z,Weather is fake. I seen Truman Show!
Elon Musk,@elonmusk,2022-04-09T20:14:20.000Z,69.420% of statistics are false
Elon Musk,@elonmusk,2022-04-09T20:12:22.000Z,Truth is the first casualty.
Tesla,@Tesla,2022-04-09T15:23:05.000Z,Thank you to everyone who came out to celebrate the first Giga Texas deliveries and party with us. Yeehaw!
SpaceX,@SpaceX,2022-04-09T12:32:32.000Z,Docking confirmed!
Elon Musk,@elonmusk,2022-04-09T13:38:00.000Z,And @justinbieber only posted once this entire year
Elon Musk,@elonmusk,2022-04-09T13:35:49.000Z,"For example, @taylorswift13 hasn’t posted anything in 3 months"
Elon Musk,@elonmusk,2022-04-09T13:32:31.000Z,"Most of these “top” accounts tweet rarely and post very little content. 

Is Twitter dying?"
Elon Musk,@elonmusk,2022-04-09T12:37:44.000Z,Interesting
SpaceX,@SpaceX,2022-04-09T09:45:26.000Z,Watch Dragon and the @Axiom_Space Ax-1 crew dock with the @space_station → http://spacex.com/launches/ax-1/
International Space Station,@Space_Station,2022-04-09T11:54:57.000Z,The @SpaceX Dragon Endeavour with four @Axiom_Space astronauts is holding 20 meters away from the station as the station crew works a video routing issue. https://nasa.gov/live
NASA,@NASA,2022-04-08T15:18:35.000Z,This takes commerce to a whole new level. @Axiom_Space's #Ax1 mission is on its way to the @Space_Station in @SpaceX's Dragon Endeavour—a key step in our ongoing work to open opportunities for space travelers in low-Earth orbit.
SpaceX,@SpaceX,2022-04-08T15:35:45.000Z,Ax-1 on orbit
SpaceX,@SpaceX,2022-04-08T16:58:08.000Z,Falcon 9 launches the first all-private human spaceflight mission to the @space_station
SpaceX,@SpaceX,2022-04-07T13:50:20.000Z,All systems are looking good for tomorrow’s Falcon 9 launch of the @Axiom_Space Ax-1 mission to the @space_station; teams are keeping an eye on downrange weather along the ascent corridor. Webcast will go live at ~7:55 a.m. ET → http://spacex.com/launches/ax-1/
Elon Musk,@elonmusk,2022-04-08T10:50:44.000Z,"Great work by Tesla Texas Team!!

Built & delivered first Giga Texas production cars & threw a killer opening party  "
Elon Musk,@elonmusk,2022-04-08T01:43:01.000Z,Show starts in ~20 mins
NetflixFilm,@NetflixFilm,2022-04-01T14:01:08.000Z,"RETURN TO SPACE
(On Netflix April 7)
Elon Musk and SpaceX engineers embark on a historic mission to return NASA astronauts to the International Space Station and revolutionize space travel."
Elon Musk,@elonmusk,2022-04-07T08:22:22.000Z,
Elon Musk,@elonmusk,2022-04-07T08:20:08.000Z,
Elon Musk,@elonmusk,2022-04-07T06:17:19.000Z,
Elon Musk,@elonmusk,2022-04-07T06:16:04.000Z,Preparing …
Elon Musk,@elonmusk,2022-04-07T06:14:07.000Z,
Elon Musk,@elonmusk,2022-04-07T05:34:19.000Z,I will give a talk around 9
Elon Musk,@elonmusk,2022-04-07T05:29:24.000Z," Gigafactory Texas 

Grand opening party tomorrow!

Doors open at 4, festivities at 8"
SpaceX,@SpaceX,2022-04-06T03:25:03.000Z,"Falcon 9 and Dragon vertical at 39A; targeting Friday, April 8 for launch of Ax-1 → https://spacex.com/launches/ax-1/"
Elon Musk,@elonmusk,2022-04-05T00:48:06.000Z,Do you want an edit button?
Elon Musk,@elonmusk,2022-04-04T16:04:49.000Z,Oh hi lol
Elon Musk,@elonmusk,2022-04-03T20:10:23.000Z,Berlin rocks
Elon Musk,@elonmusk,2022-04-03T09:14:40.000Z,
Elon Musk,@elonmusk,2022-04-03T06:54:15.000Z,"I am inspired by curiosity. 

That is what drives me. 

So let us expand the scope & scale of consciousness so that we may aspire to understand the Universe."
Elon Musk,@elonmusk,2022-04-03T06:19:29.000Z,Peace. Peace?  I hate the word. Those who do care about peace (myself aspirationally included) don’t need to hear it. And those who don’t care about peace? Well …
Elon Musk,@elonmusk,2022-04-03T05:45:19.000Z,
Elon Musk,@elonmusk,2022-04-03T05:00:17.000Z,https://scientificamerican.com/article/the-pandemic-caused-a-baby-bust-not-a-boom/?amp=true…
Elon Musk,@elonmusk,2022-04-03T04:58:37.000Z,I’m talking about not having kids in the first place. That’s the problem.
Elon Musk,@elonmusk,2022-04-03T04:52:11.000Z,But we should
Elon Musk,@elonmusk,2022-04-03T04:50:49.000Z,Humanity did not evolve to mourn the unborn
Elon Musk,@elonmusk,2022-04-03T02:51:18.000Z,They wrote PEACE on the wall at Berghain! I refused enter.
Elon Musk,@elonmusk,2022-04-03T01:55:38.000Z,
Elon Musk,@elonmusk,2022-04-03T01:52:31.000Z,
Elon Musk,@elonmusk,2022-04-03T01:24:12.000Z,
Tesla,@Tesla,2022-04-01T20:42:05.000Z,Flying Through Giga Berlin
Elon Musk,@elonmusk,2022-04-01T00:34:56.000Z,To think I grew up 2b bizniz magnet 
SpaceX,@SpaceX,2022-03-31T20:02:26.000Z,"Targeting Friday, April 1 for launch of our fourth dedicated smallsat rideshare mission; teams are keeping an eye on weather as the latest forecast shows a 30% chance of favorable liftoff conditions http://spacex.com/launches/transporter-4…"
Elon Musk,@elonmusk,2022-03-30T01:43:14.000Z,Sustainable energy generation from sun & wind is making great progress!
Elon Musk,@elonmusk,2022-03-28T22:05:21.000Z,"Starlink  team too! Expecting over 4200 Starlink satellites in operation within 18 months, which is ~2/3 of all active satellites of Earth."
Elon Musk,@elonmusk,2022-03-28T20:22:28.000Z,SpaceX Falcon  team is making excellent progress – aiming for 60 launches this year!
SpaceX,@SpaceX,2022-03-28T17:33:08.000Z,"Payloads for our upcoming fourth dedicated smallsat rideshare mission – Transporter-4 – were encapsulated into Falcon 9’s fairing late last week. On this flight are 40 spacecraft, including cubesats, microsats, picosats, hosted payloads, and an orbital transfer vehicle"
Elon Musk,@elonmusk,2022-03-28T09:29:09.000Z,We’ve all been there
Elon Musk,@elonmusk,2022-03-28T08:56:42.000Z,
Elon Musk,@elonmusk,2022-03-28T08:12:34.000Z,"Covid-19 is the virus of Theseus.

How many gene changes before it’s not Covid-19 anymore?

I supposedly have it again (sigh), but almost no symptoms."
Elon Musk,@elonmusk,2022-03-27T16:00:51.000Z,Seize the memes of production!
Elon Musk,@elonmusk,2022-03-26T17:54:02.000Z,Is a new platform needed?
Elon Musk,@elonmusk,2022-03-26T17:51:26.000Z,"Given that Twitter serves as the de facto public town square, failing to adhere to free speech principles fundamentally undermines democracy. 

What should be done?"
Elon Musk,@elonmusk,2022-03-26T05:53:24.000Z,
SpaceX,@SpaceX,2022-03-25T16:06:11.000Z,NASA has ordered six additional @space_station resupply missions from SpaceX! Dragon will continue to deliver critical cargo and supplies to and from the orbiting lab through 2026 → http://nasa.gov/feature/nasa-orders-additional-cargo-flights-to-space-station…
Elon Musk,@elonmusk,2022-03-25T08:26:45.000Z,The consequences of this poll will be important. Please vote carefully.
Elon Musk,@elonmusk,2022-03-25T07:34:52.000Z,"Free speech is essential to a functioning democracy.

Do you believe Twitter rigorously adheres to this principle?"
Elon Musk,@elonmusk,2022-03-25T01:15:13.000Z,
Elon Musk,@elonmusk,2022-03-25T01:06:48.000Z,"Old, but good"
Elon Musk,@elonmusk,2022-03-24T23:55:26.000Z,Most people think the fruit was named after the color (fools!) http://etymology.com
Elon Musk,@elonmusk,2022-03-24T23:53:23.000Z,The movie Gaslight has gaslit so many people it’s insane
Elon Musk,@elonmusk,2022-03-24T20:26:49.000Z, NASA 
Elon Musk,@elonmusk,2022-03-24T17:07:22.000Z,Twitter algorithm should be open source
Elon Musk,@elonmusk,2022-03-22T13:30:39.000Z, Danke Deutschland!! 
Elon Musk,@elonmusk,2022-03-21T18:38:32.000Z,Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!
Elon Musk,@elonmusk,2022-03-19T08:35:46.000Z,
Elon Musk,@elonmusk,2022-03-19T05:49:35.000Z,Also the heaviest Falcon 9 payload at 16.25 metric tons
Elon Musk,@elonmusk,2022-03-19T05:48:12.000Z,Deployment of 53 Starlink satellites confirmed
SpaceX,@SpaceX,2022-03-19T04:51:45.000Z,This is the first time a Falcon 9 first stage has launched and landed 12 times!
Elon Musk,@elonmusk,2022-03-19T03:26:10.000Z,As it ends the cycle of retribution
Elon Musk,@elonmusk,2022-03-19T03:24:17.000Z,"The limbic instinct for vengeance is incredibly strong, which is why turn the other cheek is such a powerful idea"
SpaceX,@SpaceX,2022-03-18T20:35:44.000Z,Starship full stack propellant load testing at Starbase
Elon Musk,@elonmusk,2022-03-17T06:56:51.000Z,"I have so much respect for the associates doing an honest day’s work at Tesla or SpaceX building & servicing cars, rockets, Starlinks, batteries, solar & many other things"
Elon Musk,@elonmusk,2022-03-17T06:52:38.000Z,Working hard to make useful products & services for your fellow humans is deeply morally good
Elon Musk,@elonmusk,2022-03-17T04:19:35.000Z,Working on Master Plan Part 3
Elon Musk,@elonmusk,2022-03-15T20:32:20.000Z,"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona"
Elon Musk,@elonmusk,2022-03-15T20:20:19.000Z,"Telegram post by Ramzan Kadyrov, head of Chechen Republic!"
Elon Musk,@elonmusk,2022-03-15T00:46:22.000Z,Congratulations SpaceX team for all that you have accomplished!
Elon Musk,@elonmusk,2022-03-14T11:53:36.000Z,Вы согласны на этот бой? @KremlinRussia_E
Elon Musk,@elonmusk,2022-03-14T11:09:22.000Z,"I hereby challenge
Владимир Путин 
to single combat

Stakes are Україна"
Elon Musk,@elonmusk,2022-03-14T10:47:57.000Z,By the pricking of my thumbs …
Elon Musk,@elonmusk,2022-03-14T09:42:25.000Z,There is a beauty to the biological substrate
Elon Musk,@elonmusk,2022-03-14T08:31:53.000Z,
Elon Musk,@elonmusk,2022-03-14T07:48:53.000Z,
Elon Musk,@elonmusk,2022-03-14T01:48:03.000Z,And we are not alone
Elon Musk,@elonmusk,2022-03-14T01:41:19.000Z,Tesla & SpaceX are seeing significant recent inflation pressure in raw materials & logistics
Elon Musk,@elonmusk,2022-03-13T21:39:30.000Z,What are your thoughts about probable inflation rate over next few years?
Elon Musk,@elonmusk,2022-03-13T11:02:24.000Z,Fifteen Decisive Battles of the World
Elon Musk,@elonmusk,2022-03-09T14:01:23.000Z,Another 48 Starlinks just reached orbit
Elon Musk,@elonmusk,2022-03-09T06:47:17.000Z,
Elon Musk,@elonmusk,2022-03-07T07:49:42.000Z,"You are my favorite hello,
And my hardest goodbye."
Tesla,@Tesla,2022-03-06T08:22:41.000Z,"Giga Berlin darf eröffnen  

Come join the team!"
Elon Musk,@elonmusk,2022-03-06T23:57:02.000Z,Also nuclear is vastly better for global warming than burning hydrocarbons for energy
Elon Musk,@elonmusk,2022-03-06T23:33:20.000Z,"For those who (mistakenly) think this is a radiation risk, pick what you think is the worst location. I will travel there & eat locally grown food on TV.

I did this in Japan many years ago, shortly after Fukushima. Radiation risk is much, much lower than most people believe."
Elon Musk,@elonmusk,2022-03-06T23:27:00.000Z,"Hopefully, it is now extremely obvious that Europe should restart dormant nuclear power stations and increase power output of existing ones. 

This is *critical* to national and international security."
Elon Musk,@elonmusk,2022-03-06T14:18:02.000Z,"Self-driving car will amplify traffic to insane levels, as you won’t feel the pain of driving yourself"
Elon Musk,@elonmusk,2022-03-06T14:06:26.000Z,Defeating traffic is the ultimate boss battle. Even the most powerful humans in the world cannot defeat traffic.
Elon Musk,@elonmusk,2022-03-06T04:38:57.000Z,Even some of the best AI software engineers in the world don’t realize how advanced Tesla AI has become
Elon Musk,@elonmusk,2022-03-06T03:45:50.000Z,
Elon Musk,@elonmusk,2022-03-05T05:15:51.000Z,"Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at gunpoint.

Sorry to be a free speech absolutist."
Elon Musk,@elonmusk,2022-03-05T04:59:24.000Z,"SpaceX reprioritized to cyber defense & overcoming signal jamming. 

Will cause slight delays in Starship & Starlink V2."
Elon Musk,@elonmusk,2022-03-05T01:22:00.000Z,"And also my sympathies to the great people of Russia, who do not want this"
Elon Musk,@elonmusk,2022-03-05T01:21:07.000Z, Hold Strong Ukraine 
Elon Musk,@elonmusk,2022-03-05T00:48:59.000Z,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil & gas exports."
Elon Musk,@elonmusk,2022-03-05T00:40:01.000Z,"Hate to say it, but we need to increase oil & gas output immediately. 

Extraordinary times demand extraordinary measures."
SpaceX,@SpaceX,2022-03-03T18:04:40.000Z,This was our 9th Falcon 9 launch in the first 9 weeks of 2022
Elon Musk,@elonmusk,2022-03-03T19:49:51.000Z,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution."
SpaceX,@SpaceX,2022-03-03T15:45:58.000Z,Deployment of 47 Starlink satellites confirmed
SpaceX,@SpaceX,2022-03-03T14:14:27.000Z,Watch Falcon 9 launch 47 Starlink satellites to orbit → http://spacex.com/launches
Tesla Solar,@TeslaSolar,2022-03-02T18:26:00.000Z,"Solar Roof lets you become your own renewable energy utility. Generate clean energy and drive on solar.
: @bethlyp on IG"
SpaceX,@SpaceX,2022-02-25T17:13:54.000Z,The people of Tonga were recently connected with Starlink
SpaceX,@SpaceX,2022-02-25T17:02:47.000Z,Watch Falcon 9 launch 50 Starlink satellites to orbit → http://spacex.com/launches
Elon Musk,@elonmusk,2022-02-22T22:35:13.000Z,
Elon Musk,@elonmusk,2022-02-22T10:18:25.000Z,tau > pi
Elon Musk,@elonmusk,2022-02-22T10:10:05.000Z,ℏ
Elon Musk,@elonmusk,2022-02-22T00:24:17.000Z,M Night should do a horror movie about this – it would resonate
Elon Musk,@elonmusk,2022-02-21T23:22:01.000Z,Entertainment is becoming a username/password/2FA nightmare
SpaceX,@SpaceX,2022-02-21T14:45:25.000Z,Liftoff!
SpaceX,@SpaceX,2022-02-21T14:29:56.000Z,Watch Falcon 9 launch 46 Starlink satellites to orbit → http://spacex.com/launches
Elon Musk,@elonmusk,2022-02-20T02:52:48.000Z,I think it will reach #2
Elon Musk,@elonmusk,2022-02-20T02:51:12.000Z,I’m dropping a new album
Elon Musk,@elonmusk,2022-02-20T02:46:59.000Z,
SpaceX,@SpaceX,2022-02-19T17:19:00.000Z,Launch and catch tower at Starbase destacking Starship
Elon Musk,@elonmusk,2022-02-18T23:49:57.000Z,So amazing that we decompress from a single cell to over 30 trillion cells
Tesla,@Tesla,2022-02-18T19:25:16.000Z,Celebrating our one millionth 4680 cell in January
Elon Musk,@elonmusk,2022-02-17T20:01:33.000Z,"An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake"
